,filename,path,genre
0,blues.00000.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
1,blues.00001.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
2,blues.00002.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
3,blues.00003.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
4,blues.00004.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
5,blues.00005.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
6,blues.00006.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
7,blues.00007.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
8,blues.00008.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
9,blues.00009.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
10,blues.00010.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
11,blues.00011.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
12,blues.00012.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
13,blues.00013.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
14,blues.00014.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
15,blues.00015.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
16,blues.00016.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
17,blues.00017.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
18,blues.00018.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
19,blues.00019.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
20,blues.00020.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
21,blues.00021.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
22,blues.00022.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
23,blues.00023.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
24,blues.00024.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
25,blues.00025.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
26,blues.00026.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
27,blues.00027.wav,C:\Users\SvenG\Documents\ANN_Final_03\data\genres\blues,blues
